threshold,hit_rate,false_hit_rate
0.8,0.8333333333333334,0.25
0.85,0.8333333333333334,0.125
0.88,0.8333333333333334,0.125
0.9,0.6666666666666666,0.125
0.92,0.6666666666666666,0.125
0.94,0.16666666666666666,0.125
0.95,0.16666666666666666,0.125
0.96,0.16666666666666666,0.125
0.97,0.16666666666666666,0.125
0.98,0.0,0.125
0.99,0.0,0.125
